employerID;Company name;Company address;Industry;Sector;First name;Last name;phone Number;e-mail
1;AF gruppn;drfgherth;Construction;PRIVATE;rthrth;rthrth;rthrth;rthrth
2;Coop mega;Aker brygge;Store and retail;PRIVATE;Silje;sadFWEQFD;WEFWEF;WEFWEF
3;yukjyutk;ytukytuk;Construction;PRIVATE;tyukytuk;tyukytu;kytukytuktyuk;s
4;Adecco;tyjtyj;Store and retail;PRIVATE;tyjtyj;tyjtyj;tyjt;yjtyj
5;Statoil;Oslo, 0192;Oil and gas;PRIVATE;Erik;Thomassen;40634648;kgorg@hotmail.no
<<<<<<< HEAD
6;Coop Mega;RTYJRTYJ;Construction;PRIVATE;GFHJ;FGHJ;FGHJFGHJ;FGHJ
=======
6;KIWI;RTYJRTYJ;Construction;PRIVATE;GFHJ;FGHJ;FGHJFGHJ;FGHJ
7;asdasd As;ASDASD 1;Car, vehicle and workshop;PRIVATE;dsadsadsa;dsasda;75587548;dsa@dsa.no
>>>>>>> master
